"vtd.key1","tract.key","party","dem.super","pop.density","income","white","poverty","black","hispanic","medianage","distance","weights"
"481133810",48113016903,"DEM",TRUE,0.0361262793024039,35897,61.64,29.1,25.38,43.16,31.2,0.774948739986856,1
"481133904",48113016902,"DEM",TRUE,1.87847616235604,35897,52.05,21.1,41.62,30.93,29.7,0.81945486902987,1
"481134408",48113016301,"DEM",TRUE,1.15289466458988,50290,53.92,11.54,12.53,66.42,30.6,0.0883881033287459,1
"481134412",48113006301,"DEM",TRUE,19.2210002941083,33750,60.31,23.45,14.2,78.3,30.6,0.934183514113772,1
"481134414",48113015900,"DEM",TRUE,12.4441652813336,30655,70.49,19.49,13.52,53.34,25.5,0.70237808936197,1
"481134429",48113004800,"DEM",TRUE,12.0784516494659,28514,88.43,25.12,3.89,90.08,27,0.722051264656855,1
"481134434",48113004202,"DEM",TRUE,16.5223975540479,35929,79.4,17.69,6.91,68.96,34.7,0.677567887097705,1
"481134443",48113000406,"DEM",TRUE,2.91367608252401,32546,29.06,34.23,0.29,85.73,30.3,0.647997193789469,1
"481134621",48113014103,"DEM",TRUE,0.00384184508323291,24784,41.01,32.65,28.76,39.55,27.1,0.885911165108032,1
"481350208",48135002503,"REP",FALSE,13.0501752329089,54563,85.21,17.05,1.59,35.45,28.5,0.416827274146496,1
"481350209",48135002300,"REP",FALSE,27.4912207707946,48125,86.11,18.08,3.15,21.8,36.3,0.910929500464723,1
"481350309",48135001600,"REP",FALSE,21.3334507176076,51602,73.77,15.74,6.15,46.44,29.4,0.76300046563579,1
