"state","county","tract","NAME","medianage","income","totalpop","poverty","hispanic","white","black","geoid"
"48","027","023105","Census Tract 231.05, Bell County, Texas",24.4,50908,4625,21.97,14.55,59.35,33.23,"48027023105"
"48","027","023106","Census Tract 231.06, Bell County, Texas",25.3,53683,8869,17.55,22.4,43.92,37.77,"48027023106"
"48","027","023107","Census Tract 231.07, Bell County, Texas",26.4,44593,7267,13.25,22,42.15,42.52,"48027023107"
"48","027","023108","Census Tract 231.08, Bell County, Texas",24.5,50156,14748,18.87,23.42,44.3,35.83,"48027023108"
"48","027","023201","Census Tract 232.01, Bell County, Texas",22.6,43750,2383,12.29,20.39,72.89,14.48,"48027023201"
"48","027","023202","Census Tract 232.02, Bell County, Texas",21.1,35790,9117,23.65,22.16,63.26,27.14,"48027023202"
"48","027","023203","Census Tract 232.03, Bell County, Texas",17.9,34155,2820,19.86,22.34,86.56,5.53,"48027023203"
"48","027","023204","Census Tract 232.04, Bell County, Texas",22.4,38810,4374,18.17,17.74,76.2,12.71,"48027023204"
"48","027","023300","Census Tract 233, Bell County, Texas",42.6,67608,5841,6.64,12.48,83.55,7.58,"48027023300"
"48","027","023402","Census Tract 234.02, Bell County, Texas",40.7,47438,3590,11,18.58,93.4,3.29,"48027023402"
"48","027","023403","Census Tract 234.03, Bell County, Texas",46.5,84688,4775,3.52,6.97,94.18,1.38,"48027023403"
"48","027","023404","Census Tract 234.04, Bell County, Texas",42.2,49306,2889,5.47,14.88,94.46,2.28,"48027023404"
"48","027","023500","Census Tract 235, Bell County, Texas",23.9,27196,2510,32.59,30.32,52.11,39.88,"48027023500"
"48","027","980001","Census Tract 9800.01, Bell County, Texas",23.4,27614,701,0,32.38,74.61,8.84,"48027980001"
"48","027","980002","Census Tract 9800.02, Bell County, Texas",NA,NA,NA,NA,NA,NA,NA,"48027980002"
"48","027","980003","Census Tract 9800.03, Bell County, Texas",NA,NA,NA,NA,NA,NA,NA,"48027980003"
"48","029","110100","Census Tract 1101, Bexar County, Texas",44.4,24922,2554,22.35,63.66,57.71,3.95,"48029110100"
"48","029","110300","Census Tract 1103, Bexar County, Texas",41.8,20841,2959,34.94,76.31,56.54,9.97,"48029110300"
"48","029","110500","Census Tract 1105, Bexar County, Texas",22.1,11172,2227,58.55,94.84,62.46,1.44,"48029110500"
"48","029","110600","Census Tract 1106, Bexar County, Texas",33.7,19934,10010,41.72,80.16,39.33,12.53,"48029110600"
"48","029","110700","Census Tract 1107, Bexar County, Texas",41.5,20625,1449,39.34,88.41,70.67,4.9,"48029110700"
"48","029","110800","Census Tract 1108, Bexar County, Texas",51,20121,1624,47.18,66.63,67.3,7.33,"48029110800"
"48","029","110900","Census Tract 1109, Bexar County, Texas",37.6,15650,335,12.84,60.3,60.6,0,"48029110900"
"48","029","111000","Census Tract 1110, Bexar County, Texas",41.7,22083,1890,36.56,82.49,71.53,3.81,"48029111000"
"48","029","120100","Census Tract 1201, Bexar County, Texas",21,55375,7136,7.61,11.74,66.8,18.62,"48029120100"
"48","029","120300","Census Tract 1203, Bexar County, Texas",44.1,104668,7020,7.02,18.39,95.68,0.64,"48029120300"
"48","029","120400","Census Tract 1204, Bexar County, Texas",44.7,116399,5784,6.42,14.68,94.09,1.4,"48029120400"
"48","029","120501","Census Tract 1205.01, Bexar County, Texas",35.2,35082,8151,22.32,46.98,68.94,13.63,"48029120501"
"48","029","120502","Census Tract 1205.02, Bexar County, Texas",37,31140,4932,25.43,57.18,60.18,11.98,"48029120502"
"48","029","120600","Census Tract 1206, Bexar County, Texas",36.4,44790,5642,11.36,35.4,87.81,1.01,"48029120600"
"48","029","120701","Census Tract 1207.01, Bexar County, Texas",40.6,32304,5179,19.54,55.24,88.32,1.41,"48029120701"
"48","029","120702","Census Tract 1207.02, Bexar County, Texas",46.6,70878,4580,9.73,18.56,91.53,1.55,"48029120702"
"48","029","120800","Census Tract 1208, Bexar County, Texas",44.9,72045,6908,5.25,22.58,90.92,0.67,"48029120800"
"48","029","120901","Census Tract 1209.01, Bexar County, Texas",40.8,43832,2413,29.09,47.95,90.59,3.56,"48029120901"
"48","029","120902","Census Tract 1209.02, Bexar County, Texas",40.2,44108,6224,15.02,41.42,75.72,10.86,"48029120902"
"48","029","121000","Census Tract 1210, Bexar County, Texas",40.6,47917,7670,12.19,48.79,82.31,2.14,"48029121000"
"48","029","121108","Census Tract 1211.08, Bexar County, Texas",40.3,66781,7389,7.19,31.56,88.56,2.63,"48029121108"
"48","029","121110","Census Tract 1211.10, Bexar County, Texas",30.5,65725,5021,5.79,40.69,83.67,9.8,"48029121110"
"48","029","121111","Census Tract 1211.11, Bexar County, Texas",36.4,56389,5991,6.33,38.82,77.45,8.95,"48029121111"
"48","029","121112","Census Tract 1211.12, Bexar County, Texas",38.5,53281,3676,4.43,27.75,80.55,5.5,"48029121112"
"48","029","121115","Census Tract 1211.15, Bexar County, Texas",46.6,76625,5094,2.97,19.4,88.99,4.18,"48029121115"
"48","029","121116","Census Tract 1211.16, Bexar County, Texas",38.1,47159,4965,8.91,27.69,91.9,0.62,"48029121116"
"48","029","121117","Census Tract 1211.17, Bexar County, Texas",31.9,55035,4555,5.8,32.05,80.72,8.45,"48029121117"
"48","029","121118","Census Tract 1211.18, Bexar County, Texas",38.3,74519,5718,5.98,36.83,77.61,4.44,"48029121118"
"48","029","121119","Census Tract 1211.19, Bexar County, Texas",35,60099,5836,7.18,42.39,73.68,2.52,"48029121119"
"48","029","121120","Census Tract 1211.20, Bexar County, Texas",33.7,57667,5110,8.96,40.43,75.54,2.68,"48029121120"
"48","029","121121","Census Tract 1211.21, Bexar County, Texas",42.7,95074,2978,0.81,20.05,80.79,3.59,"48029121121"
"48","029","121122","Census Tract 1211.22, Bexar County, Texas",41.1,74375,5157,6.51,34.85,85.28,5.89,"48029121122"
"48","029","121203","Census Tract 1212.03, Bexar County, Texas",42.5,31798,3296,19.23,60.62,76.85,7.8,"48029121203"
"48","029","121204","Census Tract 1212.04, Bexar County, Texas",36.5,34028,7217,18.67,35.54,72.74,17.33,"48029121204"
"48","029","121205","Census Tract 1212.05, Bexar County, Texas",35,39630,3294,30.18,58.71,68.12,10.26,"48029121205"
"48","029","121206","Census Tract 1212.06, Bexar County, Texas",38.8,58096,7240,6.71,50.97,78.56,4.75,"48029121206"
"48","029","121300","Census Tract 1213, Bexar County, Texas",43.7,60473,6120,11.44,30.59,79.84,12.52,"48029121300"
"48","029","121402","Census Tract 1214.02, Bexar County, Texas",29.7,46420,5139,15.68,58.86,63.07,19.07,"48029121402"
"48","029","121403","Census Tract 1214.03, Bexar County, Texas",36.3,37682,4941,19.6,39.67,56.83,29.45,"48029121403"
"48","029","121404","Census Tract 1214.04, Bexar County, Texas",28.9,20440,4976,39.77,53.24,63.36,23.21,"48029121404"
"48","029","121501","Census Tract 1215.01, Bexar County, Texas",34.6,62043,7214,4.28,34.97,70.82,13.1,"48029121501"
"48","029","121504","Census Tract 1215.04, Bexar County, Texas",35.9,49671,5597,5.84,28.16,70.81,17.69,"48029121504"
"48","029","121505","Census Tract 1215.05, Bexar County, Texas",33.6,51334,4768,14.74,45.13,68.23,7.4,"48029121505"
"48","029","121506","Census Tract 1215.06, Bexar County, Texas",33.8,51732,5746,23.2,49.9,68.83,19.68,"48029121506"
"48","029","121507","Census Tract 1215.07, Bexar County, Texas",40,58350,5202,7.36,40.56,72.03,18.7,"48029121507"
