"vtd.key1","tract.key","county","cntyname","tract","vtdname","pop10","afact","state","NAME","medianage","income","totalpop","poverty","hispanic","white","black","Pres_D_08","Pres_R_08","Shape_area"
"480213005","48021950802","48021","Bastrop TX","9508.02","480213005","3683","0.539 ","48","Census Tract 9508.02, Bastrop County, Texas",34.6,51726,6943,21.48,41.39,90.06,2.41,"948","998",168372476.813
"480213009","48021950300","48021","Bastrop TX","9503.00","480213009","1042","1 ","48","Census Tract 9503, Bastrop County, Texas",40.6,64006,11889,9.08,19.7,76.57,13.92,"150","328",86130987.7558
"480213010","48021950802","48021","Bastrop TX","9508.02","480213010","1541","0.773 ","48","Census Tract 9508.02, Bastrop County, Texas",34.6,51726,6943,21.48,41.39,90.06,2.41,"341","527",141270794.192
"480213019","48021950300","48021","Bastrop TX","9503.00","480213019","4486","0.999 ","48","Census Tract 9503, Bastrop County, Texas",40.6,64006,11889,9.08,19.7,76.57,13.92,"774","910",97393000.6793
"480213020","48021950801","48021","Bastrop TX","9508.01","480213020","4630","0.799 ","48","Census Tract 9508.01, Bastrop County, Texas",32.6,43988,6152,15.03,64.97,83.39,2.6,"496","379",65717421.5771
"480214002","48021950200","48021","Bastrop TX","9502.00","480214002","4648","0.876 ","48","Census Tract 9502, Bastrop County, Texas",40.3,47825,7816,17.87,43.47,67.6,18.37,"934","872",53729052.6982
"480214008","48021950100","48021","Bastrop TX","9501.00","480214008","1062","0.878 ","48","Census Tract 9501, Bastrop County, Texas",41.4,55226,9577,14.9,39.35,75.84,4.55,"200","258",104187535.057
"480214015","48021950100","48021","Bastrop TX","9501.00","480214015","2719","0.957 ","48","Census Tract 9501, Bastrop County, Texas",41.4,55226,9577,14.9,39.35,75.84,4.55,"430","557",139719686.324
"480250008","48025950100","48025","Bee TX","9501.00","Vtng Dist 0008","320","1 ","48","Census Tract 9501, Bee County, Texas",47.4,38229,2194,15.72,41.11,80.04,0,"48","116",51496047.5768
"480270111","48027020300","48027","Bell TX","0203.00","480270111","5890","0.736 ","48","Census Tract 203, Bell County, Texas",30.6,69909,7084,7.75,17.39,82.59,6.37,"832","2076",32858297.1455
"480270305","48027021203","48027","Bell TX","0212.03","Vtng Dist 0305","4139","1 ","48","Census Tract 212.03, Bell County, Texas",45.1,55923,4267,7.05,13.19,80.24,12.58,"590","1314",9577174.59602
"480270310","48027020100","48027","Bell TX","0201.00","Vtng Dist 0310","663","1 ","48","Census Tract 201, Bell County, Texas",34.5,58093,6869,8.55,14.24,89.84,1.94,"53","222",97336526.949
"480270311","48027020202","48027","Bell TX","0202.02","Vtng Dist 0311","4027","1 ","48","Census Tract 202.02, Bell County, Texas",42.8,56350,5420,7.27,14.23,92.05,1.75,"338","1130",178111220.774
"480270315","48027020300","48027","Bell TX","0203.00","480270315","1513","1 ","48","Census Tract 203, Bell County, Texas",30.6,69909,7084,7.75,17.39,82.59,6.37,"106","320",17995121.6328
"480270316","48027020401","48027","Bell TX","0204.01","480270316","129","1 ","48","Census Tract 204.01, Bell County, Texas",44.5,41724,3023,7.17,17.9,67.98,22.96,"11","43",2611646.75899
"480270317","48027020202","48027","Bell TX","0202.02","480270317","4","1 ","48","Census Tract 202.02, Bell County, Texas",42.8,56350,5420,7.27,14.23,92.05,1.75,"0","0",442449.247379
